user,location,content,time
ronniemalhotra,"Boston, MA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-07-03 17:27:01
ronniemalhotra,"Boston, MA",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-07-03 17:26:35
recomb2020,"Padova, Italy","Dear member of the RECOMB community,
we hope you enjoyed this year's #RECOMB2020 edition as much as we did.
We are… https://t.co/ELLrU08p4f",2020-06-30 16:10:00
arcane_mahesh,"Uppsala, Sverige",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-29 07:29:59
hendrick0403,"Taipei City, Taiwan","What a great last week of mid 2020~
Attending virtual #RECOMB2020  and connect with great peoples there, recording… https://t.co/UDH0JOfM2x",2020-06-28 10:16:59
BQPMalfoy,"Lille, France",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-28 09:27:24
recomb2020,"Padova, Italy","RT @2YasmineMANSOUR: Indeed! 
And the shared insights on the centromere enigmas were very inspiring! Exactly what I need right now 🤔

Thank…",2020-06-28 08:55:08
recomb2020,"Padova, Italy",RT @IliaMinkin: Giving a talk at a virtual conference while being quarantined in a hotel is a quite surreal experience #RECOMB2020,2020-06-28 08:54:49
recomb2020,"Padova, Italy",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-28 08:54:41
recomb2020,"Padova, Italy",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-28 08:54:20
alienzj,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-28 07:04:18
alienzj,,RT @hajirasouliha: Great keynote talk @recomb2020 by Pavel Pevzner. Describing SPAdes and Flye assembly tools for short and long reads. Als…,2020-06-28 07:02:58
alienzj,,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-28 06:43:21
pashadag,Penn State University,"RT @ashissaha123: Proud to see someone (@amatur_r ) from my undergrad university (BUET, Bangladesh) getting the best paper award at @recomb…",2020-06-27 21:08:00
3D_Genome,,RT @mackayka: Had a great time (virtually) presenting the results from our most recent pre-print today 👩‍💻 more details on how we used #tSN…,2020-06-27 15:23:34
SapovalNicolae,"Houston, TX",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 14:39:55
ashissaha123,,"Proud to see someone (@amatur_r ) from my undergrad university (BUET, Bangladesh) getting the best paper award at… https://t.co/SvWJLx92Oh",2020-06-27 14:10:54
pashadag,Penn State University,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 13:03:06
razoralign,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-27 12:40:16
vallenet,"Evry, Ile-de-France",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 09:13:09
CamilleMrcht,,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 08:25:03
bricoletc,,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 08:15:53
RayanChikhi,,RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 08:14:46
krsahlin,Stockholm,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-27 07:27:30
claczny,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-27 05:33:14
TheMarcelSchulz,"Frankfurt am Main, Deutschland",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-27 05:03:01
KarelBrinda,"Boston, MA",RT @jasmijnbaaijens: Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in m…,2020-06-27 02:31:33
jasmijnbaaijens,,Attending #RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested i… https://t.co/cFNKjEQPlL,2020-06-27 02:00:39
dreycey,"Boulder, CO",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 23:33:37
soumitrakp,"Bethesda, MD","@pashadag @RayanChikhi @amatur_r @recomb2020 Congratulations to both of you @pashadag, @amatur_r!",2020-06-26 21:46:30
CarlosS29116341,"Sevilla, España",RT @EvolutionQuant: tomorrow I am giving a talk on our latest advancements on popgen estimates from NGS data at the ongoing #RECOMB2020 as…,2020-06-26 21:38:34
KiranJavkar,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 20:55:51
vanhoan310,Munich,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 20:02:05
IliaMinkin,,@pashadag @RayanChikhi @amatur_r @recomb2020 Congratulations @amatur_r !,2020-06-26 19:59:03
CamilleMrcht,,RT @IliaMinkin: Giving a talk at a virtual conference while being quarantined in a hotel is a quite surreal experience #RECOMB2020,2020-06-26 19:48:14
nomad421,,RT @IliaMinkin: Giving a talk at a virtual conference while being quarantined in a hotel is a quite surreal experience #RECOMB2020,2020-06-26 19:46:30
IliaMinkin,,Giving a talk at a virtual conference while being quarantined in a hotel is a quite surreal experience #RECOMB2020,2020-06-26 19:46:04
KellerCaponePhD,"State College, PA",@pashadag @RayanChikhi @amatur_r @recomb2020 Congratulations! Well deserved! 🍾🎈,2020-06-26 19:36:07
mahonylab,Penn State University,@pashadag @RayanChikhi @amatur_r @recomb2020 Awesome - congrats @amatur_r !,2020-06-26 19:25:40
KarelBrinda,"Boston, MA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 19:03:51
bioinfochat,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:58:51
niemasd,"San Diego, CA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:50:12
pashadag,Penn State University,@RayanChikhi @amatur_r @recomb2020 Thanks Rayan #RECOMB2020,2020-06-26 18:41:16
BenLangmead,"Baltimore, MD",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:32:19
jameslz,China,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:11:43
IliaMinkin,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:06:46
sjackman,"Vancouver, Canada",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 18:01:27
pierre_marijon,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:59:46
CamilleMrcht,,@RayanChikhi @pashadag @amatur_r @recomb2020 Well done :O 🎉,2020-06-26 17:57:12
CamilleMrcht,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:50:46
snz20,"Boston, MA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:41:19
AdvaitBalaji,"Houston, TX",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:27:38
vandinfa,,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:21:53
yihuizhu12,"Davis, CA",RT @recomb2020: We are really excited to announce that more than 2800 attendees signed-up for the #free #virtual edition of #RECOMB2020! De…,2020-06-26 17:13:17
zevkronenberg,"Seattle, WA",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:11:08
gau,"Stockholm, Sweden",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:07:01
pashadag,Penn State University,RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:05:52
ZaminIqbal,"Cambridge, England",RT @RayanChikhi: Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set represen…,2020-06-26 17:05:38
RayanChikhi,,Congratulations to @pashadag and @amatur_r for winning the best paper at @recomb2020 for their paper on k-mer set r… https://t.co/nD1pcQleXv,2020-06-26 17:04:34
paulakf,Campinas,#RECOMB2020,2020-06-26 16:08:29
abhi_ratnakumar,New York,Variants enriched in bottlenecked population (e.g. Finland) compared to non-bottlenecked populations as a proxy for… https://t.co/F0151H3KQz,2020-06-26 14:19:34
tonzani,"New York, NY",RT @saliha_ey: Watching #RECOMB2020 The Future of Algorithms in Biology panel on my phone. I really hope this level of accesibility becomes…,2020-06-26 13:37:49
vanhoan310,Munich,RT @pashadag: Check out our latest work with @IliaMinkin #RECOMB2020 https://t.co/vF1EfZv3aR,2020-06-26 12:22:17
2YasmineMANSOUR,France,"Indeed! 
And the shared insights on the centromere enigmas were very inspiring! Exactly what I need right now 🤔

Th… https://t.co/wP9lSWilk5",2020-06-26 12:08:01
CamilleMrcht,,"RT @recomb2020: @CamilleMrcht Hello Camille, we will let you know when and where recordings will be available.",2020-06-26 10:48:40
CamilleMrcht,,@recomb2020 Awesome thank you!,2020-06-26 10:48:35
burkhard_mstern,"Göttingen, Deutschland","RT @CamilleMrcht: #RECOMB2020 organizers, will we be able to get/download the recordings of the talks afterwards (when authors agreed)?",2020-06-26 10:48:07
recomb2020,"Padova, Italy",RT @hajirasouliha: Great keynote talk @recomb2020 by Pavel Pevzner. Describing SPAdes and Flye assembly tools for short and long reads. Als…,2020-06-26 10:08:39
recomb2020,"Padova, Italy","RT @tonzani: @leon_anavy on now @recomb2020 . Not #computationalbiology, but biological computation. Storing info in DNA . Exciting field t…",2020-06-26 10:07:16
recomb2020,"Padova, Italy",RT @tonzani: @Rbaltman on now @recomb2020 on why ancestry matters for your reactions to drugs. 14% of people predicted to have unusual reac…,2020-06-26 10:07:11
recomb2020,"Padova, Italy",RT @LaraUrban42: Very exciting talks by @benjraphael and @james_y_zou @UCLA_CGSI @recomb2020 about computer vision/spatio-temporal genomics…,2020-06-26 10:06:56
recomb2020,"Padova, Italy","RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-26 10:06:41
recomb2020,"Padova, Italy",RT @jeriscience: Thanks for the great talks at the virtual @DR_E_A_M special session on single cells @recomb2020 @WumingG @irepan_salvador…,2020-06-26 10:06:31
recomb2020,"Padova, Italy",RT @abhi_ratnakumar: PWAS:Proteome-association study. Combine genotype data with knowledge on protein function to develop gene function sco…,2020-06-26 10:06:20
recomb2020,"Padova, Italy",RT @pashadag: Check out our latest work with @IliaMinkin #RECOMB2020 https://t.co/vF1EfZv3aR,2020-06-26 10:06:15
recomb2020,"Padova, Italy",RT @abhi_ratnakumar: Very interesting! Gene prioritization without using in-sample data. Significant genes identified this way are much mor…,2020-06-26 10:06:12
th3nn3ss,Wherever you want me to be.,RT @ahmedElkoussy: Looking forward to presebt out benchmark of single cell classifiers today at #RECOMB2020 at 9:20pm CEST... Very exciting…,2020-06-26 10:05:24
th3nn3ss,Wherever you want me to be.,"RT @jmuiuc: Please join us for the ""Single-Cell Genomics"" session that I will chair today (starting 3pm ET) at #RECOMB2020 (https://t.co/hh…",2020-06-26 10:05:13
recomb2020,"Padova, Italy",RT @irepan_salvador: 😊🎉Happy after giving a summary talk in #RECOMB2020 on the @AllenInstitute  @DR_E_A_M challenge on cell lineage reconst…,2020-06-26 10:05:12
recomb2020,"Padova, Italy","RT @derezanin: So glad I had a chance to listen to the great talk by Pavel Pevzner at #RECOMB2020 yesterday, about the Flye assembly algori…",2020-06-26 10:05:06
recomb2020,"Padova, Italy",RT @EvolutionQuant: tomorrow I am giving a talk on our latest advancements on popgen estimates from NGS data at the ongoing #RECOMB2020 as…,2020-06-26 10:05:00
recomb2020,"Padova, Italy",RT @saobettencourt: @ChristaCaggiano Great talk at #RECOMB2020!! Interesting data on ALS cell-free DNA methylation 😉,2020-06-26 10:04:56
recomb2020,"Padova, Italy","RT @pcnmartin: After listening to The Future of Algorithms in Biology at #RECOMB2020 panel talk, I feel like I should learn good old C and…",2020-06-26 10:04:51
recomb2020,"Padova, Italy","RT @hyunhwanj: Some thoughts of panel session #RECOMB2020:

* Regarding the over-fitting problem, I think we have several problem like smal…",2020-06-26 10:04:47
recomb2020,"Padova, Italy",RT @saliha_ey: Watching #RECOMB2020 The Future of Algorithms in Biology panel on my phone. I really hope this level of accesibility becomes…,2020-06-26 10:04:43
recomb2020,"Padova, Italy","RT @infoecho: Great talk by Jasmijn Baaijens about vg-flow to resolve quasi-species for virus study!!   https://t.co/wLk0VNgegT

#RECOMB2020",2020-06-26 10:04:36
recomb2020,"Padova, Italy",RT @DrRebell: #RECOMB2020 from the balcony. ☀️ https://t.co/OVhv6VkmIN,2020-06-26 10:04:29
recomb2020,"Padova, Italy",RT @StevenSalzberg1: Listening to Pavel Pevzner's exciting keynote talk at #RECOMB2020: who knew that proteins (peptides) occurred in circu…,2020-06-26 10:04:26
recomb2020,"Padova, Italy","RT @zhizhid: Excited that our d-PBWT paper will be presented tomorrow morning, following a keynote from my PhD advisor Pavel Pevzner! #RECO…",2020-06-26 10:04:15
recomb2020,"Padova, Italy",RT @KamathGovinda: The online #RECOMB2020 is great. I just gave a talk to 450 people - the largest audience I'd given a talk to by a fair m…,2020-06-26 10:04:13
recomb2020,"Padova, Italy","RT @jmuiuc: Tomorrow (Wed Jun 24) at 4pm ET (10pm Italy time), #RECOMB2020 will have the ""Epigenetics"" session (https://t.co/hhjf8ekik5). @…",2020-06-26 10:04:08
recomb2020,"Padova, Italy",RT @abhi_ratnakumar: Really nice talk assessing methods for detecting network modules with GWAS data @ftsven #RECOMB2020. Here is the paper…,2020-06-26 10:04:05
recomb2020,"Padova, Italy",RT @mackayka: Had a great time (virtually) presenting the results from our most recent pre-print today 👩‍💻 more details on how we used #tSN…,2020-06-26 10:04:01
recomb2020,"Padova, Italy","RT @ftsven: Also, I’m giving a highlight talk on Disease Module Identification at #RECOMB2020 today at 4pm US Eastern time (10pm CET) that…",2020-06-26 10:03:57
recomb2020,"Padova, Italy",RT @leon_anavy: When the conference is held on EST hours and your kid gets curious about what you are doing during dinner (listening to a g…,2020-06-26 10:03:54
recomb2020,"Padova, Italy","RT @KailashBP10: #RECOMB2020 premier computational biology conference now goes virtual, registration is free! https://t.co/FWESqUlzbx",2020-06-26 10:03:51
recomb2020,"Padova, Italy","RT @PurdueCS: Watch 💻: CluStrat, which corrects for cryptic relatedness in #GWAS in virtual #Recomb2020 today at 5:20pm (EST). 
Registratio…",2020-06-26 10:03:46
recomb2020,"Padova, Italy",RT @hyunhwanj: Attending #RECOMB2020? Want to expand your twitter network? I am making a twitter list people who are attending #RECOMB2020…,2020-06-26 10:03:42
recomb2020,"Padova, Italy","RT @AritraBose90: Excited to present CluStrat, which corrects for cryptic relatedness in #GWAS in virtual #Recomb2020 today at 5:20pm (EST)…",2020-06-26 10:03:38
recomb2020,"Padova, Italy","RT @bbglab: Check out the preprint of the work presented by our PhD student Pepe Bonet yesterday at #Recomb2020.
👉https://t.co/XTFCTSjPHV h…",2020-06-26 10:03:33
recomb2020,"Padova, Italy",RT @dany2k: Excited for our #RECOMB2020 talk on Computing the Rearrangement Distance of Natural Genomes today at 4:40 PM CET. Paper: https:…,2020-06-26 10:03:29
recomb2020,"Padova, Italy",RT @UthsavC: Will be presenting some recent work on identifying altered subnetworks at 3:40pm (EST) today at the virtual #RECOMB2020 confer…,2020-06-26 10:03:25
recomb2020,"Padova, Italy",RT @KJames_IntBio: Really enjoying virtual #RECOMB2020 and some interesting network analysis talks coming up later today. Free to register…,2020-06-26 10:03:22
recomb2020,"Padova, Italy",RT @farid_rashidi: @SMalikic talk about our recently published paper (https://t.co/zKXu46jxbd) in @genomeresearch at #RECOMB2020 as a highl…,2020-06-26 10:03:16
recomb2020,"Padova, Italy","RT @saliha_ey: Into the a.m. hours, still following #RECOMB2020. 
@IBMResearch @IBM_CompSysBio projects are always refreshing. I almost wan…",2020-06-26 10:03:10
recomb2020,"Padova, Italy",RT @andrei_chiffa: #RECOMB2020 online edition is both free and amazing - I really wish more conferences went this route.,2020-06-26 10:03:02
recomb2020,"Padova, Italy","RT @alavimir: Thank you to the organizers and attendees of #RECOMB2020 for their attention and questions! Many asked for the code, and it’s…",2020-06-26 10:02:54
recomb2020,"Padova, Italy",RT @pcnmartin: Following the single cell sessions at #RECOMB2020 . I got to say this conference has really stepped up the virtual conferenc…,2020-06-26 10:02:46
recomb2020,"Padova, Italy",RT @compBiology: Lisa Tucker-Kellogg presenting TRANSCOMPP at #RECOMB2020  Understanding phenotypic plasticity by estimating Markov transit…,2020-06-26 10:02:42
recomb2020,"Padova, Italy","RT @compBiology: Starting the Single-Cell Genomics Session at #RECOMB2020  ""Supervised Adversarial Alignment of Single-Cell RNA-seq"" 
Thank…",2020-06-26 10:02:37
recomb2020,"Padova, Italy",RT @ahmedElkoussy: Looking forward to presebt out benchmark of single cell classifiers today at #RECOMB2020 at 9:20pm CEST... Very exciting…,2020-06-26 10:02:32
recomb2020,"Padova, Italy","RT @jmuiuc: Please join us for the ""Single-Cell Genomics"" session that I will chair today (starting 3pm ET) at #RECOMB2020 (https://t.co/hh…",2020-06-26 10:02:28
recomb2020,"Padova, Italy",RT @alavimir: Excited to be presenting our recent paper on enabling cell type classification across various heterogenous batches of scRNA-s…,2020-06-26 10:02:21
recomb2020,"Padova, Italy","RT @gacatag: #RECOMB2020 begins. 1st keynote speaker, Manuela Helmer, presented about lncRNA function discovery and 2ndary #RNA structure m…",2020-06-26 10:02:13
recomb2020,"Padova, Italy",RT @TastanOznur: She is quite excited by lncRNAs. #RECOMB2020 https://t.co/14qDIwO85J,2020-06-26 10:02:07
recomb2020,"Padova, Italy","RT @bbglab: Today our PhD student @pepeb_5 will present the work performed alongside Nico Borgsmüller at #RECOMB2020
Stay tuned at 10 pm (E…",2020-06-26 10:01:56
recomb2020,"Padova, Italy","RT @Quizzomaniac: An interesting take on how lncRNAs can have functions...

#recomb2020 https://t.co/FTBzv5SWPH",2020-06-26 10:01:50
recomb2020,"Padova, Italy",RT @grytesatas: Excited to present our recent work on single-cell tumor phylogeny inference at #RECOMB2020 at 5pm (EST) today (available vi…,2020-06-26 10:01:45
recomb2020,"Padova, Italy","RT @Winter_Madness_: RNA secondary structure: chasing functions for lncRNAs
#RECOMB2020 https://t.co/6wVTu6zofq",2020-06-26 10:01:41
mas_sandoval_a,,RT @EvolutionQuant: tomorrow I am giving a talk on our latest advancements on popgen estimates from NGS data at the ongoing #RECOMB2020 as…,2020-06-26 09:00:38
ppericard,"Lille, France","RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-26 08:26:23
krsahlin,Stockholm,"RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-26 06:47:42
jcchacond,"London, United Kingdom",RT @EvolutionQuant: tomorrow I am giving a talk on our latest advancements on popgen estimates from NGS data at the ongoing #RECOMB2020 as…,2020-06-26 06:19:10
allawayr,"Seattle, WA",RT @jeriscience: Thanks for the great talks at the virtual @DR_E_A_M special session on single cells @recomb2020 @WumingG @irepan_salvador…,2020-06-26 02:55:13
SingleCellMedia,Italy,RT @LaraUrban42: Very exciting talks by @benjraphael and @james_y_zou @UCLA_CGSI @recomb2020 about computer vision/spatio-temporal genomics…,2020-06-26 01:04:23
LaraUrban42,New Zealand ,Very exciting talks by @benjraphael and @james_y_zou @UCLA_CGSI @recomb2020 about computer vision/spatio-temporal g… https://t.co/BfhGZQZTab,2020-06-26 00:52:02
ozgunharmanci,"Houston, TX",RT @zhizhid: Excited to share our newest preprint from the young and talented Ahsan Sanaullah and @ShaojieZhang_ . We introduced the dynami…,2020-06-26 00:10:31
Ptdtan,"Sai Gon, Viet Nam",RT @pashadag: Check out our latest work with @IliaMinkin #RECOMB2020 https://t.co/vF1EfZv3aR,2020-06-25 23:28:06
WumingG,"Minneapolis, MN",So excited to share the science @recomb2020 https://t.co/eKvuzer18n,2020-06-25 23:19:47
ldiambra,La Plata,RT @jeriscience: Thanks for the great talks at the virtual @DR_E_A_M special session on single cells @recomb2020 @WumingG @irepan_salvador…,2020-06-25 21:59:02
hajirasouliha,"New York, USA","RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 21:51:44
